Name,Year,Engine,Fuel,Transmission,Driven_KM,No_of_Owner,Location, Price 
Maruti Swift VDI,2012,1248 CC,Diesel,Manual,80799,First,Hyderabad,4.9
Toyota Corolla Altis 1.8 VL CVT,2018,1798 CC,Petrol,Automatic,5000,First,Kolkata,16.95
Toyota Innova 2.5 G (Diesel) 8 Seater,2013,2494 CC,Diesel,Manual,92000,First,Hyderabad,12.5
Tata Tiago Wizz 1.05 Revotorq,2017,1047 CC,Diesel,Manual,53000,First,Hyderabad,5
Skoda Rapid 1.6 MPI Ambition,2015,1598 CC,Petrol,Manual,39822,First,Mumbai,4.68
Ford Endeavour 3.2 Titanium AT 4X4,2016,3198 CC,Diesel,Automatic,29000,First,Mumbai,29.8
Renault KWID RXL,2017,799 CC,Petrol,Manual,24214,Second,Kochi,3.46
Hyundai i20 1.4 Asta CRDi with AVN,2012,1396 CC,Diesel,Manual,75000,First,Pune,4
Skoda Laura Ambiente,2012,1896 CC,Diesel,Manual,77216,Second,Chennai,4.5
Toyota Corolla Altis Diesel D4DG,2013,1364 CC,Diesel,Manual,74290,First,Kochi,5.87
Mahindra Scorpio S8 8 Seater,2015,2179 CC,Diesel,Manual,61000,First,Delhi,9.5
Audi Q5 2.0 TDI Premium Plus,2013,1968 CC,Diesel,Automatic,44000,First,Chennai,32.5
Chevrolet Enjoy TCDi LS 8 Seater,2014,1248 CC,Diesel,Manual,74041,First,Coimbatore,3.88
BMW 3 Series 320d,2013,1995 CC,Diesel,Automatic,85846,First,Coimbatore,13.08
Nissan Sunny 2011-2014 Diesel XV,2012,1461 CC,Diesel,Manual,52000,First,Delhi,3.5
Honda Accord 2.4 MT,2010,2354 CC,Petrol,Manual,47000,Second,Mumbai,3.5
Hyundai Verna CRDi,2010,1493 CC,Diesel,Manual,72010,First,Bangalore,4.45
Maruti Omni E MPI STD BS IV,2015,796 CC,Petrol,Manual,15000,First,Jaipur,2.35
Honda City i VTEC SV,2015,1497 CC,Petrol,Manual,480000,First,Kolkata,5
Audi A7 2011-2015 Sportback,2012,2967 CC,Diesel,Automatic,24720,Second,Kolkata,28
Ford Fiesta 1.4 ZXi Leather,2007,1388 CC,Petrol,Manual,75000,Second,Chennai,2
Hyundai i20 1.4 Asta,2015,1396 CC,Diesel,Manual,57000,First,Mumbai,6.35
Mercedes-Benz E-Class E250 CDI Avantgrade,2015,2143 CC,Diesel,Automatic,41057,First,Kochi,24.63
Maruti Wagon R LXI CNG,2012,998 CC,CNG,Manual,92000,Second,Pune,3
Ford EcoSport 1.5 TDCi Trend Plus,2016,1498 CC,Diesel,Manual,20000,First,Chennai,7.9
Hyundai i20 1.2 Magna,2011,1197 CC,Petrol,Manual,52359,First,Mumbai,3.25
Honda City i VTEC V,2016,1497 CC,Petrol,Manual,17000,Second,Delhi,8.25
Nissan Micra Diesel XV,2011,1461 CC,Diesel,Manual,39002,First,Kolkata,2.85
Ford Figo Diesel EXI,2010,1399 CC,Diesel,Manual,129986,Second,Pune,3.2
Nissan Micra XL,2013,1198 CC,Petrol,Manual,45000,First,Kolkata,1.75
Maruti Swift VDI BSIV,2013,1248 CC,Diesel,Manual,41300,First,Kolkata,3.38
Honda Accord 2.4 MT,2009,2354 CC,Petrol,Manual,82002,Second,Ahmedabad,5.75
Skoda Superb Elegance 1.8 TSI AT,2010,1798 CC,Petrol,Automatic,67000,First,Mumbai,4.7
Maruti Omni 8 Seater BSIV,2017,796 CC,Petrol,Manual,21260,First,Hyderabad,2.9
Hyundai i20 Magna Optional 1.4 CRDi,2012,1396 CC,Diesel,Manual,55362,First,Ahmedabad,4.25
Hyundai Creta 1.6 CRDi AT SX Plus,2017,1582 CC,Diesel,Automatic,13000,First,Chennai,14.5
Maruti Swift VDI BSIV,2016,1248 CC,Diesel,Manual,45725,First,Kochi,5.34
Maruti Swift LDI BSIV,2014,1248 CC,Diesel,Manual,105000,First,Jaipur,3.85
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2009,2494 CC,Diesel,Manual,156056,First,Hyderabad,8.5
Hyundai Xcent 1.1 CRDi Base,2016,1120 CC,Diesel,Manual,135000,First,Mumbai,4.2
Maruti Ertiga Paseo VDI,2016,1248 CC,Diesel,Manual,67000,First,Delhi,6.75
Ford Endeavour 3.2 Trend AT 4X4,2016,3198 CC,Diesel,Automatic,90000,First,Jaipur,26
Hyundai i20 1.4 Sportz,2019,1396 CC,Diesel,Manual,32251,First,Coimbatore,8.61
Maruti Zen Estilo LXI BS IV,2009,998 CC,Petrol,Manual,47000,First,Mumbai,1.46
Maruti Ritz VDi,2011,1248 CC,Diesel,Manual,75308,Second,Mumbai,2.8
Maruti Alto K10 LXI CNG Optional,2018,998 CC,CNG,Manual,44202,First,Kochi,4
Honda City 1.5 S MT,2014,1497 CC,Petrol,Manual,58000,First,Mumbai,5.47
Maruti Swift Dzire ZXi,2009,1298 CC,Petrol,Manual,60000,First,Mumbai,2.45
BMW X1 sDrive 20d Sportline,2014,1995 CC,Diesel,Automatic,45000,First,Hyderabad,21.5
Tata Manza Aqua Safire,2010,1368 CC,Petrol,Manual,41195,First,Mumbai,1.38
Mahindra XUV500 W10 2WD,2016,2179 CC,Diesel,Manual,89000,First,Chennai,13.5
Hyundai i10 Sportz AT,2009,1197 CC,Petrol,Automatic,60510,Second,Bangalore,3.1
Maruti Baleno Sigma 1.2,2016,1197 CC,Petrol,Manual,8500,First,Mumbai,5.49
Maruti Vitara Brezza ZDi Plus Dual Tone,2017,1248 CC,Diesel,Manual,35981,First,Kochi,9.51
Ford Figo Petrol ZXI,2012,1196 CC,Petrol,Manual,23152,First,Mumbai,2.39
Maruti Wagon R CNG LXI,2014,998 CC,CNG,Manual,74663,First,Delhi,3.25
Volkswagen Vento Sport 1.2 TSI AT,2014,1197 CC,Petrol,Automatic,61529,First,Mumbai,5.65
Mahindra Xylo D2 BS III,2010,2489 CC,Diesel,Manual,91596,First,Ahmedabad,1.85
Porsche Cayenne Base,2019,2995 CC,Petrol,Automatic,14298,First,Kochi,2.02
Maruti Swift Dzire VDi,2013,1248 CC,Diesel,Manual,83327,First,Hyderabad,5.8
Volkswagen Polo 1.2 MPI Highline Plus,2017,1199 CC,Petrol,Manual,22857,First,Hyderabad,6.9
Hyundai Verna 1.6 VTVT,2013,1591 CC,Petrol,Manual,34620,Second,Chennai,5.35
Hyundai i10 Era 1.1,2010,1086 CC,Petrol,Manual,56000,First,Bangalore,2.85
Mercedes-Benz E-Class E250 CDI Launch Edition,2014,2143 CC,Diesel,Automatic,81000,First,Chennai,22.75
Maruti Zen LXI,1998,993 CC,Petrol,Manual,95150,Third,Jaipur,0.45
Hyundai i10 Sportz,2013,1197 CC,Petrol,Manual,32776,First,Coimbatore,4.64
Honda Amaze S i-Dtech,2016,1498 CC,Diesel,Manual,51587,First,Coimbatore,5.27
Tata Safari Storme VX,2016,2179 CC,Diesel,Manual,36000,First,Jaipur,10
Honda Brio 1.2 S MT,2015,1198 CC,Petrol,Manual,22000,First,Mumbai,3.95
Hyundai i20 Asta,2010,1197 CC,Petrol,Manual,30754,First,Kochi,3.38
Volkswagen Jetta 2012-2014 1.4 TSI,2018,1390 CC,Petrol,Manual,37109,First,Coimbatore,16.8
Honda Jazz Select Edition,2010,1198 CC,Petrol,Manual,45000,First,Kolkata,1.99
Hyundai Grand i10 Sportz,2017,1197 CC,Petrol,Manual,33284,First,Coimbatore,5.84
Jaguar XF Diesel,2016,2993 CC,Diesel,Automatic,55115,First,Coimbatore,36.15
Jaguar XF 2.2 Litre Luxury,2014,2179 CC,Diesel,Automatic,18000,First,Kolkata,25.7
Mahindra XUV500 W8 2WD,2013,2179 CC,Diesel,Manual,130790,First,Coimbatore,9.24
Maruti S Cross DDiS 320 Alpha,2015,1598 CC,Diesel,Manual,16607,First,Delhi,7.65
Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,1968 CC,Diesel,Automatic,32205,First,Coimbatore,25.31
Renault Duster 110PS Diesel RxZ,2013,1461 CC,Diesel,Manual,67000,First,Delhi,4.75
Maruti Swift Dzire VXI,2014,1197 CC,Petrol,Manual,57676,First,Coimbatore,6.69
Volkswagen Polo Petrol Trendline 1.2L,2012,1198 CC,Petrol,Manual,41000,First,Mumbai,3.1
Maruti Omni 8 Seater BSII,2012,796 CC,Petrol,Manual,65000,First,Jaipur,1.55
Hyundai Grand i10 1.2 Kappa Magna AT,2019,1197 CC,Petrol,Automatic,12153,First,Coimbatore,6.84
Tata Nano Twist XT,2014,624 CC,Petrol,Manual,16810,First,Hyderabad,1.6
Audi A4 30 TFSI Premium Plus,2017,1395 CC,Petrol,Automatic,61221,First,Kochi,21.73
Volkswagen Polo 1.2 MPI Highline,2015,1198 CC,Petrol,Manual,22000,First,Mumbai,4.75
Maruti Alto 800 LXI,2015,796 CC,Petrol,Manual,63714,First,Chennai,2.45
Mini Cooper 5 DOOR D,2019,1496 CC,Diesel,Automatic,14857,First,Kochi,31.55
Audi A4 New 2.0 TDI Multitronic,2012,1968 CC,Diesel,Automatic,69000,Second,Delhi,10.25
Ford Endeavour Titanium 4X2,2019,2198 CC,Diesel,Manual,14648,First,Coimbatore,27.36
Ford Ecosport 1.5 Ti VCT MT Titanium,2013,1499 CC,Petrol,Manual,100000,Second,Hyderabad,6.5
Hyundai Grand i10 Magna,2016,1197 CC,Petrol,Manual,22000,First,Jaipur,4.25
Chevrolet Sail 1.2 LS,2014,1199 CC,Petrol,Manual,10000,First,Mumbai,5.5
Maruti Swift Dzire LXI,2015,1197 CC,Petrol,Manual,107000,First,Kolkata,4
Tata Zest Revotron 1.2T XM,2017,1193 CC,Petrol,Manual,48198,First,Kochi,4.65
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2015,2143 CC,Diesel,Automatic,15000,First,Delhi,28.5
Chevrolet Cruze LTZ,2014,1998 CC,Diesel,Manual,80073,First,Coimbatore,7.11
Maruti Ritz VDi,2013,1248 CC,Diesel,Manual,85388,First,Hyderabad,3.9
Hyundai Grand i10 1.2 Kappa Sportz Option,2017,1197 CC,Petrol,Manual,14700,First,Jaipur,5.6
Maruti Dzire LDI,2012,1248 CC,Diesel,Manual,150000,Third,Pune,2.25
Hyundai Verna 1.6 SX,2011,1582 CC,Diesel,Manual,34994,First,Kolkata,3.9
Jaguar XF Diesel,2014,2993 CC,Diesel,Automatic,82536,First,Coimbatore,28.63
Skoda Superb Elegance 1.8 TSI AT,2013,1798 CC,Petrol,Automatic,82000,First,Delhi,7.25
Maruti Wagon R LXI,2006,998 CC,Petrol,Manual,52000,Second,Pune,2
Volkswagen Polo Petrol Highline 1.2L,2011,1198 CC,Petrol,Manual,20000,First,Mumbai,3.5
Honda Civic 2010-2013 1.8 S MT,2011,1799 CC,Petrol,Manual,55000,First,Hyderabad,5
Maruti Eeco CNG 5 Seater AC,2015,1196 CC,CNG,Manual,47001,First,Ahmedabad,3.72
Maruti Wagon R VXI,2014,998 CC,Petrol,Manual,52000,First,Chennai,3.45
Maruti Swift Dzire VDI,2013,1248 CC,Diesel,Manual,43284,First,Kolkata,4.5
Hyundai Creta 1.6 SX Plus Petrol Automatic,2018,1591 CC,Petrol,Automatic,23875,First,Coimbatore,14.36
Hyundai Grand i10 Asta,2016,1197 CC,Petrol,Manual,51866,First,Bangalore,5.5
Nissan Micra Diesel XV Premium,2013,1461 CC,Diesel,Manual,69000,First,Mumbai,3
Hyundai Grand i10 1.2 Kappa Asta,2017,1197 CC,Petrol,Manual,62788,First,Coimbatore,6.08
Volkswagen Vento Diesel Highline,2013,1598 CC,Diesel,Manual,150000,First,Chennai,5
Toyota Fortuner 4x2 AT,2015,2982 CC,Diesel,Automatic,47566,First,Kochi,20.25
Hyundai Santro GS zipDrive - Euro II,2002,999 CC,Petrol,Manual,67000,Third,Chennai,1.2
Toyota Innova Crysta 2.8 GX AT,2018,2755 CC,Diesel,Automatic,20300,First,Pune,18
Mercedes-Benz A Class A180 CDI,2015,2143 CC,Diesel,Automatic,48300,First,Pune,17.5
Hyundai EON D Lite,2013,814 CC,Petrol,Manual,30000,First,Pune,2.1
Hyundai Elantra CRDi SX,2012,1582 CC,Diesel,Manual,36000,Second,Bangalore,7.5
Mini Cooper 3 DOOR D,2015,1496 CC,Diesel,Automatic,27641,Second,Kochi,24.77
Renault Duster 110PS Diesel RXZ Option,2015,1461 CC,Diesel,Manual,60000,First,Bangalore,8.65
Ford Endeavour 3.2 Titanium AT 4X4,2019,3198 CC,Diesel,Automatic,9000,First,Chennai,35.5
Toyota Corolla Altis GL MT,2014,1798 CC,Petrol,Manual,60750,First,Delhi,10.5
Mahindra XUV500 W7,2018,2179 CC,Diesel,Manual,9000,First,Delhi,13
BMW 7 Series 730Ld Design Pure Excellence CBU,2012,2993 CC,Diesel,Automatic,41100,First,Kolkata,26.5
Maruti Wagon R LX BSIII,2004,1061 CC,Petrol,Manual,60000,Second,Ahmedabad,1.4
Honda City i VTEC SV,2017,1497 CC,Petrol,Manual,38424,First,Kochi,7.51
Maruti Swift VDI,2014,1248 CC,Diesel,Manual,50000,First,Delhi,4.3
Honda City i-VTEC CVT VX,2015,1497 CC,Petrol,Automatic,19000,First,Mumbai,8.95
Maruti Ertiga VDI,2015,1248 CC,Diesel,Manual,58734,First,Kochi,6.91
Renault Duster 110PS Diesel RxZ,2016,1461 CC,Diesel,Manual,65257,First,Coimbatore,9.75
Maruti Swift Dzire VDi,2010,1248 CC,Diesel,Manual,130000,Second,Jaipur,4
Maruti Ritz VDi,2011,1248 CC,Diesel,Manual,79000,First,Hyderabad,3.65
Mahindra XUV500 W8 4WD,2013,2179 CC,Diesel,Manual,78000,First,Chennai,10.75
Honda Brio S MT,2015,1198 CC,Petrol,Manual,49133,First,Kochi,4.51
Mercedes-Benz M-Class ML 350 4Matic,2016,2987 CC,Diesel,Automatic,22769,First,Coimbatore,49.22
Tata Manza Club Class Quadrajet90 LS,2014,1248 CC,Diesel,Manual,54448,First,Coimbatore,3.7
Toyota Innova 2.5 V Diesel 7-seater,2014,2494 CC,Diesel,Manual,158793,First,Hyderabad,12.99
Maruti Swift VXI,2015,1197 CC,Petrol,Manual,62088,First,Delhi,4.15
Hyundai Verna 1.6 EX VTVT,2012,1591 CC,Petrol,Manual,14800,First,Kolkata,4.4
Honda Mobilio S i VTEC,2015,1497 CC,Petrol,Manual,26000,First,Kolkata,4.25
Honda Amaze S i-Vtech,2017,1198 CC,Petrol,Manual,32005,First,Mumbai,4.25
Honda City i-VTEC CVT VX,2017,1497 CC,Petrol,Automatic,35000,First,Jaipur,7.7
Land Rover Range Rover 2.2L Dynamic,2015,2179 CC,Diesel,Automatic,52000,First,Pune,39.75
Honda City i-VTEC V,2017,1497 CC,Petrol,Manual,11000,First,Mumbai,8.5
Mercedes-Benz E-Class 280 Elegance,2008,2997 CC,Petrol,Automatic,62000,First,Jaipur,7
Ford Ikon 1.3 Flair,2002,1299 CC,Petrol,Manual,65134,Third,Chennai,0.8
Toyota Fortuner 4x2 Manual,2013,2982 CC,Diesel,Manual,71000,First,Delhi,15.25
Maruti A-Star Vxi,2008,998 CC,Petrol,Manual,51366,First,Hyderabad,2.25
Tata Sumo EX,2016,1948 CC,Diesel,Manual,46300,First,Kolkata,4.85
Honda City V AT,2012,1497 CC,Petrol,Automatic,60908,Second,Coimbatore,6.42
Nissan Micra XV D,2012,1461 CC,Diesel,Manual,93450,Second,Chennai,2.5
Hyundai Verna SX CRDi AT,2011,1582 CC,Diesel,Automatic,104000,First,Hyderabad,5.75
Maruti 800 Std,2003,796 CC,Petrol,Manual,52000,First,Pune,0.5
Mahindra XUV500 W8 4WD,2015,2179 CC,Diesel,Manual,42999,First,Coimbatore,11.52
Maruti SX4 VDI,2014,1248 CC,Diesel,Manual,90000,First,Delhi,4.5
Hyundai i20 Sportz AT 1.4,2013,1396 CC,Petrol,Automatic,72000,First,Bangalore,4.75
Hyundai Creta 1.6 CRDi SX,2019,1582 CC,Diesel,Manual,54321,First,Coimbatore,13.54
Mercedes-Benz E-Class E250 CDI Avantgrade,2015,2143 CC,Diesel,Automatic,59630,First,Kochi,23.41
Toyota Fortuner 4x2 AT,2013,2982 CC,Diesel,Automatic,116000,Second,Hyderabad,19.25
Volvo S60 D4 KINETIC,2015,1984 CC,Diesel,Automatic,34000,First,Ahmedabad,20
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,2011,2143 CC,Diesel,Automatic,70000,First,Delhi,13
Honda Accord 2.4 Elegance M/T,2010,2354 CC,Petrol,Manual,80000,First,Chennai,3.99
Honda Amaze S i-Dtech,2015,1498 CC,Diesel,Manual,110000,First,Pune,4.65
Maruti Dzire ZDI,2013,1248 CC,Diesel,Manual,56454,First,Ahmedabad,4.65
Maruti Swift LXI,2013,1197 CC,Petrol,Manual,60000,First,Kolkata,3.15
Toyota Corolla Altis G HV AT,2013,1798 CC,Petrol,Automatic,56000,First,Delhi,8.25
Land Rover Range Rover Vogue SE 4.4 SDV8,2012,4367 CC,Diesel,Automatic,63000,Second,Bangalore,65
Maruti Swift VDI,2012,1248 CC,Diesel,Manual,63000,First,Chennai,4.5
Jeep Compass 2.0 Limited Option 4X4,2017,1956 CC,Diesel,Manual,15050,First,Kolkata,17.5
Maruti Swift VXI BSIV,2016,1197 CC,Petrol,Manual,29401,First,Mumbai,4.31
Honda Jazz 1.2 SV i VTEC,2016,1199 CC,Petrol,Manual,25238,First,Kochi,6.2
Toyota Etios GD,2011,1364 CC,Diesel,Manual,79000,First,Chennai,4.67
Volkswagen Polo Petrol Trendline 1.2L,2011,1198 CC,Petrol,Manual,58752,First,Kochi,3.32
Honda Civic 2006-2010 1.8 V AT,2011,1799 CC,Petrol,Automatic,62000,First,Delhi,3.75
Toyota Etios G SP,2013,1496 CC,Petrol,Manual,132000,First,Bangalore,4.7
Hyundai Verna 1.6 SX VTVT,2016,1591 CC,Petrol,Manual,51000,First,Chennai,6.5
Toyota Innova 2.5 G4 Diesel 8-seater,2009,2494 CC,Diesel,Manual,185200,First,Hyderabad,7.25
Maruti SX4 S Cross DDiS 320 Zeta,2016,1598 CC,Diesel,Manual,61717,First,Coimbatore,8.94
Ford Freestyle Titanium Plus Petrol,2018,1194 CC,Petrol,Manual,8896,First,Kolkata,7.34
Maruti Baleno Alpha 1.2,2016,1197 CC,Petrol,Manual,17000,First,Delhi,6.9
Honda Jazz V,2016,1199 CC,Petrol,Manual,31378,First,Mumbai,5.9
Hyundai Verna 1.6 CRDi EX AT,2013,1582 CC,Diesel,Automatic,114000,First,Pune,6.75
Honda Amaze VX i-DTEC,2014,1498 CC,Diesel,Manual,81000,First,Ahmedabad,4.1
Audi Q3 30 TDI Premium FWD,2017,1968 CC,Diesel,Automatic,31000,First,Mumbai,27
Skoda Rapid 2013-2016 1.6 MPI Ambition,2014,1598 CC,Petrol,Manual,35000,First,Mumbai,4.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1968 CC,Diesel,Automatic,60001,First,Kolkata,14.5
Maruti Swift Dzire VDI,2014,1248 CC,Diesel,Manual,75074,First,Jaipur,5.25
Tata Indica Vista Quadrajet LS,2012,1248 CC,Diesel,Manual,80000,Second,Kolkata,1.2
Toyota Innova 2.5 G (Diesel) 8 Seater,2006,2494 CC,Diesel,Manual,147350,Second,Jaipur,4.95
Renault Duster 110PS Diesel RxZ Plus,2013,1461 CC,Diesel,Manual,60000,First,Hyderabad,7.5
Mercedes-Benz E-Class E400 Cabriolet,2015,2996 CC,Petrol,Automatic,7501,First,Kolkata,48
Honda Amaze S i-Dtech,2015,1498 CC,Diesel,Manual,58000,First,Delhi,4.45
Mercedes-Benz GLE 350d,2018,2987 CC,Diesel,Automatic,29277,First,Coimbatore,59.65
Maruti Ritz VDi,2015,1248 CC,Diesel,Manual,57034,First,Kochi,4.38
Maruti Ciaz ZDi Plus SHVS,2016,1248 CC,Diesel,Manual,40810,First,Kochi,7.9
Hyundai Santro Xing GL,2008,1086 CC,Petrol,Manual,35268,Second,Bangalore,1.88
BMW 5 Series 520d Sedan,2008,,Diesel,Automatic,81000,Second,Mumbai,10.5
Maruti Baleno Delta CVT,2018,1197 CC,Petrol,Automatic,34630,First,Coimbatore,7.29
Ford Fiesta Diesel Titanium Plus,2012,1498 CC,Diesel,Manual,45122,First,Hyderabad,6
Mahindra XUV500 W8 2WD,2011,2179 CC,Diesel,Manual,126000,Third,Chennai,6.7
Maruti Alto LXi,2009,796 CC,Petrol,Manual,63000,First,Jaipur,1.5
Mini Cooper 3 DOOR D,2016,1496 CC,Diesel,Automatic,32298,First,Kochi,23.8
Mahindra XUV500 W8 4WD,2014,2179 CC,Diesel,Manual,63288,First,Kochi,7.77
Hyundai Santro Xing GLS,2012,1086 CC,Petrol,Manual,43337,First,Coimbatore,3.32
Maruti Swift VDI,2015,1248 CC,Diesel,Manual,46561,First,Kochi,4.94
Mercedes-Benz A Class A180 CDI,2013,2143 CC,Diesel,Automatic,34000,Second,Delhi,11
Renault KWID RXT,2016,799 CC,Petrol,Manual,48000,First,Hyderabad,3.4
Maruti Swift VDI,2013,1248 CC,Diesel,Manual,56263,First,Kochi,4.17
Maruti Zen LXI,2005,993 CC,Petrol,Manual,84060,Second,Hyderabad,1.25
Hyundai Grand i10 Magna AT,2016,1197 CC,Petrol,Automatic,9000,First,Mumbai,5.45
Tata Manza Aura Quadrajet BS IV,2012,1248 CC,Diesel,Manual,79000,First,Jaipur,2.59
Mahindra XUV500 W10 AWD,2015,2179 CC,Diesel,Manual,87900,First,Pune,12.01
Maruti Swift Dzire 1.2 Vxi BSIV,2010,1197 CC,Petrol,Manual,72425,Second,Delhi,2.45
Audi Q3 35 TDI Quattro Premium Plus,2015,1968 CC,Diesel,Automatic,38000,First,Bangalore,29
Ford Fiesta 1.4 SXi TDCi,2008,1399 CC,Diesel,Manual,83000,Second,Hyderabad,2.4
Mercedes-Benz New C-Class C 220 CDI Elegance AT,2010,2143 CC,Diesel,Automatic,107000,First,Hyderabad,11.99
Honda City i VTEC CVT VX,2015,1497 CC,Petrol,Automatic,51000,First,Delhi,7.9
Toyota Innova 2.5 GX 7 STR,2010,2494 CC,Diesel,Manual,140000,Third,Pune,6.25
Chevrolet Beat LT,2011,1199 CC,Petrol,Manual,48000,Second,Pune,1.8
Maruti Wagon R LXI CNG,2013,998 CC,CNG,Manual,62000,First,Delhi,2.8
Honda Jazz 1.2 S i VTEC,2015,1199 CC,Petrol,Manual,31000,First,Mumbai,4.9
Nissan Micra XL Primo,2010,1198 CC,Petrol,Manual,75055,First,Jaipur,2.25
Maruti Ciaz AT ZXi,2017,1373 CC,Petrol,Automatic,51210,First,Coimbatore,8.89
Toyota Fortuner 4x2 AT,2012,2982 CC,Diesel,Automatic,87000,First,Mumbai,15
Ford Aspire Ambiente Diesel,2018,1498 CC,Diesel,Manual,17000,First,Kolkata,5.65
Maruti Ertiga ZDI,2014,1248 CC,Diesel,Manual,57000,First,Jaipur,7
Maruti Alto 800 LXI,2016,796 CC,Petrol,Manual,9370,First,Hyderabad,2.95
Honda Brio V MT,2013,1198 CC,Petrol,Manual,53226,First,Chennai,3.3
Hyundai Verna Transform CRDi VGT SX ABS,2010,1493 CC,Diesel,Manual,120000,Second,Hyderabad,3.5
Honda City 1.5 GXI,2007,1493 CC,Petrol,Manual,75055,First,Jaipur,2.3
Hyundai Creta 1.6 CRDi SX,2017,1582 CC,Diesel,Manual,37247,First,Coimbatore,13.69
Toyota Etios Liva GD,2013,1364 CC,Diesel,Manual,64000,First,Delhi,3.1
Hyundai Sonata Transform 2.4 GDi MT,2014,2359 CC,Petrol,Manual,12000,First,Mumbai,12.75
Hyundai Creta 1.6 CRDi SX Option,2017,1582 CC,Diesel,Manual,40158,First,Pune,13.75
Honda Jazz 1.2 SV i VTEC,2017,1199 CC,Petrol,Manual,11000,First,Chennai,6.75
Volkswagen Vento Diesel Comfortline,2014,1598 CC,Diesel,Manual,70010,First,Chennai,5.25
Mahindra XUV500 W6 2WD,2015,2179 CC,Diesel,Manual,82000,First,Mumbai,8.75
Mahindra TUV 300 2015-2019 T8,2017,1493 CC,Diesel,Manual,57259,First,Kochi,8.87
Honda Accord 2001-2003 2.3 VTi L AT,2010,2354 CC,Petrol,Automatic,84000,Second,Bangalore,6.5
Maruti Ertiga VDI,2012,1248 CC,Diesel,Manual,168000,First,Pune,4.5
Mahindra Ssangyong Rexton RX5,2012,2696 CC,Diesel,Manual,73670,First,Hyderabad,12.5
Toyota Fortuner 4x2 AT,2014,2982 CC,Diesel,Automatic,89540,First,Delhi,16.8
Maruti Ertiga ZDI,2016,1248 CC,Diesel,Manual,85423,First,Hyderabad,8.75
Hyundai Elantra CRDi SX AT,2013,1582 CC,Diesel,Automatic,48823,First,Pune,8.5
Hyundai i10 Magna 1.2,2011,1197 CC,Petrol,Manual,35082,First,Kolkata,2.21
Maruti Omni MPI STD BSIV,2012,796 CC,Petrol,Manual,126000,First,Jaipur,1.6
Honda Amaze VX AT i-Vtech,2016,1198 CC,Petrol,Automatic,19000,First,Delhi,6.25
Honda Civic 2006-2010 1.8 V AT,2007,1799 CC,Petrol,Automatic,69000,Second,Mumbai,2.25
Mercedes-Benz CLA 200 CDI Sport,2019,2143 CC,Diesel,Automatic,29836,First,Kochi,25.75
Skoda Superb 1.8 TFSI MT,2010,1798 CC,Petrol,Manual,48002,Second,Ahmedabad,6.75
Maruti Ciaz ZDi Plus SHVS,2015,1248 CC,Diesel,Manual,52324,First,Ahmedabad,6.25
Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,1498 CC,Diesel,Manual,65000,First,Delhi,5.1
Mercedes-Benz M-Class ML 320 CDI,2009,2987 CC,Diesel,Automatic,66000,Second,Mumbai,10.75
Hyundai Grand i10 CRDi Sportz,2016,1120 CC,Diesel,Manual,75700,First,Hyderabad,5.7
Volkswagen Vento Diesel Breeze,2013,1598 CC,Diesel,Manual,43000,First,Bangalore,5.95
Chevrolet Beat Diesel LT,2012,936 CC,Diesel,Manual,42706,First,Kochi,2.4
Mahindra Quanto C6,2013,1493 CC,Diesel,Manual,35000,First,Mumbai,3.49
Hyundai i10 Asta 1.2 AT with Sunroof,2011,1197 CC,Petrol,Automatic,54348,First,Hyderabad,4
Toyota Etios Liva 1.4 GD,2013,1364 CC,Diesel,Manual,84000,First,Delhi,3.85
Toyota Corolla Altis 2008-2013 1.8 VL AT,2010,1794 CC,Petrol,Automatic,63298,First,Mumbai,3.95
Hyundai i10 Magna 1.2,2013,1197 CC,Petrol,Manual,75049,Second,Jaipur,3
Ford Figo Aspire 1.2 Ti-VCT Titanium,2018,1196 CC,Petrol,Manual,24237,First,Kochi,6.7
Maruti Ritz ZXi,2016,1197 CC,Petrol,Manual,22767,First,Coimbatore,6.14
Hyundai i20 Sportz AT 1.4,2012,1396 CC,Petrol,Automatic,58000,Second,Bangalore,4.4
Maruti Swift Dzire LDI,2017,1248 CC,Diesel,Manual,57000,First,Pune,4.25
BMW 7 Series 2007-2012 750Li,2010,4395 CC,Petrol,Automatic,50161,First,Kochi,25.93
Maruti S Cross DDiS 320 Alpha,2016,1598 CC,Diesel,Manual,45000,First,Kolkata,7
Toyota Fortuner 4x4 AT,2017,2982 CC,Diesel,Automatic,68319,First,Coimbatore,25.12
Hyundai EON 1.0 Magna Plus Option O,2017,998 CC,Petrol,Manual,30711,First,Kochi,4.45
Hyundai i20 1.4 CRDi Magna,2011,1396 CC,Diesel,Manual,38277,First,Kolkata,2.4
Volkswagen Vento Diesel Highline,2012,1598 CC,Diesel,Manual,115000,Second,Pune,4.33
Maruti Swift Dzire VXi AT,2017,1197 CC,Petrol,Automatic,46849,First,Coimbatore,6.93
Hyundai i20 Magna 1.4 CRDi,2014,1396 CC,Diesel,Manual,64000,First,Ahmedabad,4.25
